country,years,songs,artists,places,points,qualification
Andorra,2009,La Teva Decisió (Get A Life),Susanne Georgi,Didn't qualify,,#15 in semi-final 1
Andorra,2008,Casanova,Gisela,Didn't qualify,,#16 in semi-final 1
Andorra,2007,Salvem El Món,Anonymous,Didn't qualify,,#12 in semi-final
Andorra,2006,Sense Tu,Jennifer,Didn't qualify,,#23 in semi-final
Andorra,2005,La Mirada Interior,Marian van de Wal,Didn't qualify,,#23 in semi-final
Andorra,2004,Jugarem A Estimar-nos,Marta Roure,Didn't qualify,,#18 in semi-final
Australia,2023,–,,–,–,semi-final
Australia,2022,Not the Same,Sheldon Riley,15,125,#2 in semi-final 2
Australia,2021,Technicolour,Montaigne,Didn't qualify,,#14 in semi-final 1
Australia,2020,Don't Break Me,Montaigne,,,cancelled
Australia,2019,Zero Gravity,Kate Miller-Heidke,9,284,#1 in semi-final 1
Australia,2018,We Got Love,Jessica Mauboy,20,99,#4 in semi-final 2
Australia,2017,Don't Come Easy,Isaiah,9,173,#6 in semi-final 1
Australia,2016,Sound of Silence,Dami Im,2,511,#1 in semi-final 2
Australia,2015,Tonight Again,Guy Sebastian,5,196,Special guest
Azerbaijan,2023,–,,–,–,semi-final
Azerbaijan,2022,Fade To Black,Nadir Rustamli,16,106,#10 in semi-final 2
Azerbaijan,2021,Mata Hari,Efendi,20,65,#8 in semi-final 1
Azerbaijan,2020,Cleopatra,Efendi,,,cancelled
Azerbaijan,2019,Truth,Chingiz,8,302,#5 in semi-final 2
Azerbaijan,2018,X My Heart,Aisel,Didn't qualify,,#11 in semi-final 1
Azerbaijan,2017,Skeletons,Dihaj,14,120,#8 in semi-final 1
Azerbaijan,2016,Miracle,Samra,17,117,#6 in semi-final 1
Azerbaijan,2015,Hour Of The Wolf,Elnur Hüseynov,12,49,#10 in semi-final 2
Azerbaijan,2014,Start A Fire,Dilara Kazimova,22,33,#9 in semi-final 1
Azerbaijan,2013,Hold Me,Farid Mammadov,2,234,#1 in semi-final 2
Azerbaijan,2012,When The Music Dies,Sabina Babayeva,4,150,winner 2011
Azerbaijan,2011,Running Scared,Ell/Nikki,#1,221,#2 in semi-final 1
Azerbaijan,2010,Drip Drop,Safura,5,145,#2 in semi-final 2
Azerbaijan,2009,Always,AySel & Arash,3,207,#2 in semi-final 2
Azerbaijan,2008,Day After Day,Elnur & Samir,8,132,#6 in semi-final 1
Armenia,2023,–,,–,–,semi-final
Armenia,2022,Snap,Rosa Linn,20,61,#5 in semi-final 1
Armenia,2020,Chains On You,Athena Manoukian,,,cancelled
Armenia,2019,Walking Out,Srbuk,Didn't qualify,,#16 in semi-final 2
Armenia,2018,Qami,Sevak Khanagyan,Didn't qualify,,#15 in semi-final 1
Armenia,2017,Fly With Me,Artsvik,18,79,#7 in semi-final 1
Armenia,2016,LoveWave,Iveta Mukuchyan,7,249,#2 in semi-final 1
Armenia,2015,Face The Shadow,Genealogy,16,34,#7 in semi-final 1
Armenia,2014,Not Alone,Aram MP3,4,174,#4 in semi-final 1
Armenia,2013,Lonely Planet,Dorians,18,41,#7 in semi-final 2
Armenia,2011,Boom Boom,Emmy,Didn't qualify,,#12 in semi-final 1
Armenia,2010,Apricot Stone,Eva Rivas,7,141,#6 in semi-final 2
Armenia,2009,Jan Jan,Inga & Anush,10,92,#5 in semi-final 1
Armenia,2008,"Qele, Qele",Sirusho,4,199,#2 in semi-final 1
Armenia,2007,Anytime You Need,Hayko,8,138,Top-10 2006
Armenia,2006,Without Your Love,André,8,129,#6 in semi-final
Albania,2023,–,,–,–,semi-final
Albania,2022,Sekret,Ronela Hajati,Didn't qualify,,#12 in semi-final 1
Albania,2021,Karma,Anxhela Peristeri,21,57,#10 in semi-final 2
Albania,2020,Fall From The Sky,Arilena Ara,,,cancelled
Albania,2019,Ktheju Tokës,Jonida Maliqi,17,90,#9 in semi-final 2
Albania,2018,Mall,Eugent Bushpepa,11,184,#8 in semi-final 1
Albania,2017,World,Lindita,Didn't qualify,,#14 in semi-final 1
Albania,2016,Fairytale,Eneda Tarifa,Didn't qualify,,#16 in semi-final 2
Albania,2015,I'm Alive,Elhaida Dani,17,34,#10 in semi-final 1
Albania,2014,One Night's Anger,Hersi,Didn't qualify,,#15 in semi-final 1
Albania,2013,Identitet,Adrian Lulgjuraj & Bledar Sejko,Didn't qualify,,#15 in semi-final 2
Albania,2012,Suus,Rona Nishliu,5,146,#2 in semi-final 1
Albania,2011,Feel The Passion,Aurela Gaçe,Didn't qualify,,#14 in semi-final 1
Albania,2010,It's All About You,Juliana Pasha,16,62,#6 in semi-final 1
Albania,2009,Carry Me In Your Dreams,Kejsi Tola,17,48,#7 in semi-final 2
Albania,2008,Zemrën E Lamë Peng,Olta Boka,17,55,#9 in semi-final 2
Albania,2007,Hear My Plea,Aida & Frederik Ndoci,Didn't qualify,,#17 in semi-final
Albania,2006,Zjarr E Ftohtë,Luiz Ejlli,Didn't qualify,,#14 in semi-final
Albania,2005,Tomorrow I Go,Ledina Celo,16,53,Top-10 2004
Albania,2004,The Image Of You,Anjeza Shahini,7,106,#4 in semi-final
Belarus,2020,Da vidna,VAL,,,cancelled
Belarus,2019,Like It,Zena,24,31,#10 in semi-final 1
Belarus,2018,Forever,Alekseev,Didn't qualify,,#16 in semi-final 1
Belarus,2017,Historyja majho žyccia,Naviband,17,83,#9 in semi-final 2
Belarus,2016,Help You Fly,Ivan,Didn't qualify,,#12 in semi-final 2
Belarus,2015,Time,Uzari & Maimuna,Didn't qualify,,#12 in semi-final 1
Belarus,2014,Cheesecake,Teo,16,43,#5 in semi-final 2
Belarus,2013,Solayoh,Alyona Lanskaya,16,48,#7 in semi-final 1
Belarus,2012,We Are The Heroes,Litesound,Didn't qualify,,#16 in semi-final 2
Belarus,2011,I Love Belarus,Anastasiya Vinnikova,Didn't qualify,,#14 in semi-final 2
Belarus,2010,Butterflies,3+2,24,18,#9 in semi-final 1
Belarus,2009,Eyes That Never Lie,Petr Elfimov,Didn't qualify,,#13 in semi-final 1
Belarus,2008,Hasta La Vista,Ruslan Alehno,Didn't qualify,,#17 in semi-final 2
Belarus,2007,Work Your Magic,Dmitry Koldun,6,145,#4 in semi-final
Belarus,2006,Mum,Polina Smolova,Didn't qualify,,#22 in semi-final
Belarus,2005,Love Me Tonight,Angelica Agurbash,Didn't qualify,,#13 in semi-final
Belarus,2004,My Galileo,Aleksandra & Konstantin,Didn't qualify,,#19 in semi-final
Austria,2023,–,,–,–,semi-final
Austria,2022,Halo,LUM!X & Pia Maria,Didn't qualify,,#15 in semi-final 1
Austria,2021,Amen,Vincent Bueno,Didn't qualify,,#12 in semi-final 2
Austria,2020,Alive,Vincent Bueno,,,cancelled
Austria,2019,Limits,Pænda,Didn't qualify,,#17 in semi-final 2
Austria,2018,Nobody But You,Cesár Sampson,3,342,#4 in semi-final 1
Austria,2017,Running On Air,Nathan Trent,16,93,#7 in semi-final 2
Austria,2016,Loin d'ici,Zoë,13,151,#7 in semi-final 1
Austria,2015,I Am Yours,The Makemakes,26,0,winner 2014
Austria,2014,Rise Like a Phoenix,Conchita Wurst,#1,290,#1 in semi-final 2
Austria,2013,Shine,Natália Kelly,Didn't qualify,,#14 in semi-final 1
Austria,2012,Woki Mit Deim Popo,Trackshittaz,Didn't qualify,,#18 in semi-final 1
Austria,2011,The Secret Is Love,Nadine Beiler,18,64,#7 in semi-final 2
Austria,2007,Get A Life - Get Alive,Eric Papilaya,Didn't qualify,,#27 in semi-final
Austria,2005,Y Así,Global.Kryner,Didn't qualify,,#21 in semi-final
Austria,2004,Du Bist,Tie Break,21,9,Top-10 2003
Austria,2003,Weil Der Mensch Zählt,Alf Poier,6,101,
Austria,2002,Say A Word,Manuel Ortega,18,26,
Austria,2000,All To You,The rounder girls,14,34,
Austria,1999,Reflection,Bobbie Singer,10,65,
Austria,1997,One Step,Bettina Soriat,21,12,
Austria,1996,Weil's Dr Guat Got,George Nußbaumer,10,68,#6 in qualification
Austria,1995,Die Welt Dreht Sich Verkehrt,Stella Jones,13,67,
Austria,1994,Für Den Frieden Der Welt,Petra Frey,17,19,
Austria,1993,Maria Magdalena,Tony Wegas,14,32,
Austria,1992,Zusammen Geh'n,Tony Wegas,10,63,
Austria,1991,Venedig Im Regen,Thomas Forstner,22,0,
Austria,1990,Keine Mauern Mehr,Simone,10,58,
Austria,1989,Nur Ein Lied,Thomas Forstner,5,97,
Austria,1988,Lisa Mona Lisa,Wilfried,21,0,
Austria,1987,Nur Noch Gefühl,Gary Lux,20,8,
Austria,1986,Die Zeit Ist Einsam,Timna Brauer,18,12,
Austria,1985,Kinder Dieser Welt,Gary Lux,8,60,
Austria,1984,Einfach Weg,Anita,19,5,
Austria,1983,Hurricane,Westend,9,53,
Austria,1982,Sonntag,Mess,9,57,
Austria,1981,Wenn Du Da Bist,Marty Brem,17,20,
Austria,1980,Du Bist Musik,Blue Danube,8,64,
Austria,1979,Heute In Jerusalem,Christina Simon,18,5,
Austria,1978,Mrs. Caroline Robinson,Springtime,15,14,
Austria,1977,Boom Boom Boomerang,Schmetterlinge,17,11,
Austria,1976,My Little World,Waterloo & Robinson,5,80,
Austria,1972,Falter Im Wind,The Milestones,5,100,
Austria,1971,Musik,Marianne Mendt,16,66,
Austria,1968,Tausend Fenster,Karel Gott,13,2,
Austria,1967,Warum Es Hunderttausend Sterne Gibt,Peter Horten,14,2,
Austria,1966,Merci Chérie,Udo Jürgens,#1,31,
Austria,1965,"Sag Ihr, Ich Lass' Sie Grüßen",Udo Jürgens,4,16,
Austria,1964,"Warum Nur, Warum?",Udo Jürgens,6,11,
Austria,1963,Vielleicht Geschieht Ein Wunder,Carmela Corren,7,16,
Austria,1962,Nur In Der Wiener Luft,Eleonore Schwarz,13,0,
Austria,1961,Sehnsucht,Jimmy Makulis,15,1,
Austria,1960,Du Hast Mich So Fasziniert,Harry Winter,7,6,
Austria,1959,Der K. Und K. Kalypso Aus Wien,Ferry Graf,9,4,
Austria,1958,Die Ganze Welt Braucht Liebe,Liane Augustin,5,8,
Austria,1957,"Wohin, Kleines Pony",Bob Martin,10,3,
Belgium,2023,–,,–,–,semi-final
Belgium,2022,Miss You,Jérémie Makiese,19,64,#8 in semi-final 2
Belgium,2021,The Wrong Place,Hooverphonic,19,74,#9 in semi-final 1
Belgium,2020,Release Me,Hooverphonic,,,cancelled
Belgium,2019,Wake Up,Eliot,Didn't qualify,,#13 in semi-final 1
Belgium,2018,A Matter of Time,Sennek,Didn't qualify,,#12 in semi-final 1
Belgium,2017,City Lights,Blanche,4,363,#4 in semi-final 1
Belgium,2016,What's the Pressure,Laura Tesoro,10,181,#3 in semi-final 2
Belgium,2015,Rhythm Inside,Loïc Nottet,4,217,#2 in semi-final 1
Belgium,2014,Mother,Axel Hirsoux,Didn't qualify,,#14 in semi-final 1
Belgium,2013,Love Kills,Roberto Bellarosa,12,71,#5 in semi-final 1
Belgium,2012,Would You?,Iris,Didn't qualify,,#17 in semi-final 1
Belgium,2011,With Love Baby,Witloof Bay,Didn't qualify,,#11 in semi-final 2
Belgium,2010,Me And My Guitar,Tom Dice,6,143,#1 in semi-final 1
Belgium,2009,Copycat,Copycat,Didn't qualify,,#17 in semi-final 1
Belgium,2008,O Julissi,Ishtar,Didn't qualify,,#17 in semi-final 1
Belgium,2007,Love Power,The KMG's,Didn't qualify,,#26 in semi-final
Belgium,2006,Je t'adore,Kate Ryan,Didn't qualify,,#12 in semi-final
Belgium,2005,Le Grand Soir,Nuno Resende,Didn't qualify,,#22 in semi-final
Belgium,2004,1 Life,Xandee,22,7,Top-10 2003
Belgium,2003,Sanomi,Urban Trad,2,165,
Belgium,2002,Sister,Sergio & the Ladies,13,33,
Belgium,2000,Envie De Vivre,Nathalie Sorce,24,2,
Belgium,1999,Like The Wind,Venessa Chinitor,12,38,
Belgium,1998,Dis Oui,Mélanie Cohl,6,122,
Belgium,1996,Liefde Is Een Kaartspel,Lisa del Bo,16,22,#12 in qualification
Belgium,1995,La Voix Est Libre,Frédéric Etherlinck,20,8,
Belgium,1993,Iemand Als Jij,Barbara Dex,25,3,
Belgium,1992,Nous On Veut Des Violons,Morgane,20,11,
Belgium,1991,Geef Het Op,Clouseau,16,23,
Belgium,1990,Macédomienne,Philippe Lafontaine,12,46,
Belgium,1989,Door De Wind,Ingeborg,19,13,
Belgium,1988,Laissez Briller Le Soleil,Reynaert,18,5,
Belgium,1987,Soldiers Of Love,Liliane Saint-Pierre,11,56,
Belgium,1986,J'aime La Vie,Sandra Kim,#1,176,
Belgium,1985,Laat Me Nu Gaan,Linda Lepomme,19,7,
Belgium,1984,Avanti La Vie,Jacques Zegers,5,70,
Belgium,1983,Rendez-vous,Pas de Deux,18,13,
Belgium,1982,Si Tu Aimes Ma Musique,Stella,4,96,
Belgium,1981,Samson,Emly Starr,13,40,
Belgium,1980,Euro-vision,Telex,17,14,
Belgium,1979,Hey Nana,Micha Marah,18,5,
Belgium,1978,L'amour ça Fait Chanter La Vie,Jean Vallée,2,125,
Belgium,1977,"A Million In One, Two, Three",Dream Express,7,69,
Belgium,1976,Judy Et Cie.,Pierre Rapsat,8,68,
Belgium,1975,Gelukkig Zijn,Ann Christy,15,17,
Belgium,1974,Fleur De Liberté,Jacques Hustin,9,10,
Belgium,1973,"Baby, Baby",Nicole and Hugo,17,58,
Belgium,1972,À La Folie Ou Pas Du Tout,Serge and Christine Ghisoland,17,55,
Belgium,1971,"Goeie Morgen, Morgen",Lily Castel and Jacques Raymond,14,68,
Belgium,1970,Viens L'oublier,Jean Vallée,8,5,
Belgium,1969,Jennifer Jennings,Louis Neefs,7,10,
Belgium,1968,Quand Tu Reviendras,Claude Lombard,7,8,
Belgium,1967,Ik Heb Zorgen,Louis Neefs,7,8,
Belgium,1966,"Un Peu De Poivre, Un Peu De Sel",Tonia,4,14,
Belgium,1965,Als Het Weer Lente Is,Lize Marke,15,0,
Belgium,1964,Près De Ma Rivière,Robert Cogoi,10,2,
Belgium,1963,Waarom,Jacques Raymond,10,4,
Belgium,1962,Ton Nom,Fud Leclerc,13,0,
Belgium,1961,"September, Gouden Roos",Bob Benny,15,1,
Belgium,1960,Mon Amour Pour Toi,Fud Leclerc,6,9,
Belgium,1959,Hou Toch Van Mij,Bob Benny,6,9,
Belgium,1958,Ma Petite Chatte,Fud Leclerc,5,8,
Belgium,1957,Straatdeuntje,Bobbejaan Schoepen,8,5,
Belgium,1956,Messieurs Les Noyés De La Seine,Fud Leclerc,2,–,
Belgium,1956,Le Plus Beau Jour De Ma Vie,Mony Marc,2,–,
Bulgaria,2022,Intention,Intelligent Music Project,Didn't qualify,,#16 in semi-final 1
Bulgaria,2021,Growing Up Is Getting Old,Victoria,11,170,#3 in semi-final 2
Bulgaria,2020,Tears Getting Sober,Victoria,,,cancelled
Bulgaria,2018,Bones,Equinox,14,166,#7 in semi-final 1
Bulgaria,2017,Beautiful Mess,Kristian Kostov,2,615,#1 in semi-final 2
Bulgaria,2016,If Love Was a Crime,Poli Genova,4,307,#5 in semi-final 2
Bulgaria,2013,Samo Shampioni,Elitsa Todorova & Stoyan Yankulov,Didn't qualify,,#12 in semi-final 2
Bulgaria,2012,Love Unlimited,Sofi Marinova,Didn't qualify,,#11 in semi-final 2
Bulgaria,2011,Na Inat,Poli Genova,Didn't qualify,,#12 in semi-final 2
Bulgaria,2010,Angel Si Ti,Miro,Didn't qualify,,#15 in semi-final 2
Bulgaria,2009,Illusion,Krassimir Avramov,Didn't qualify,,#16 in semi-final 1
Bulgaria,2008,"DJ, Take Me Away",Deep Zone & Balthazar,Didn't qualify,,#11 in semi-final 2
Bulgaria,2007,Water,Elitsa Todorova & Stoyan Yankulov,5,157,#6 in semi-final
Bulgaria,2006,Let Me Cry,Mariana Popova,Didn't qualify,,#17 in semi-final
Bulgaria,2005,Lorraine,Kaffe,Didn't qualify,,#19 in semi-final
Bosnia & Herzegovina,2016,Ljubav Je,Dalal & Deen feat. Ana Rucner & Jala,Didn't qualify,,#11 in semi-final 1
Bosnia & Herzegovina,2012,Korake Ti Znam,Maya Sar,18,55,#6 in semi-final 2
Bosnia & Herzegovina,2011,Love In Rewind,Dino Merlin,6,125,#5 in semi-final 2
Bosnia & Herzegovina,2010,Thunder and Lightning,Vukašin Brajić,17,51,#8 in semi-final 1
Bosnia & Herzegovina,2009,Bistra Voda,Regina,9,106,#3 in semi-final 1
Bosnia & Herzegovina,2008,Pokušaj,Laka,10,110,#9 in semi-final 1
Bosnia & Herzegovina,2007,Rijeka Bez Imena,Marija Sestic,11,106,Top-10 2006
Bosnia & Herzegovina,2006,Lejla,Hari Mata Hari,3,229,#2 in semi-final
Bosnia & Herzegovina,2005,Call Me,Feminnem,14,79,Top-10 2004
Bosnia & Herzegovina,2004,In The Disco,Deen,9,91,#7 in semi-final
Bosnia & Herzegovina,2003,Ne Brini,Mija Martina,16,27,
Bosnia & Herzegovina,2002,Na Jastuku Za Dvoje,Maja,13,33,
Bosnia & Herzegovina,2001,Hano,Nino,14,29,
Bosnia & Herzegovina,1999,Putnici,Dino & Beatrice,7,86,
Bosnia & Herzegovina,1997,Goodbye,Alma Cardzic,18,22,
Bosnia & Herzegovina,1996,Za Našu Ljubav,Amila Glamocak,22,13,#21 in qualification
Bosnia & Herzegovina,1995,Dvadeset I Prvi Vijek,Davor Popovic,19,14,
Bosnia & Herzegovina,1994,Ostani Kraj Mene,Alma & Dejan,15,39,
Bosnia & Herzegovina,1993,Sva Bol Svijeta,Fazla,16,27,#2 in qualification
Czech Republic,2023,–,,–,–,semi-final
Czech Republic,2022,Lights Off,We Are Domi,22,38,#4 in semi-final 2
Czech Republic,2021,Omaga,Benny Cristo,Didn't qualify,,#15 in semi-final 2
Czech Republic,2020,Kemama,Benny Cristo,,,cancelled
Czech Republic,2019,Friend of a Friend,Lake Malawi,11,157,#2 in semi-final 1
Czech Republic,2018,Lie To Me,Mikolas Josef,6,281,#3 in semi-final 1
Czech Republic,2017,My Turn,Martina Bárta,Didn't qualify,,#13 in semi-final 1
Czech Republic,2016,I Stand,Gabriela Gunčíková,25,41,#9 in semi-final 1
Czech Republic,2015,Hope Never Dies,Marta Jandová & Václav Noid Bárta,Didn't qualify,,#13 in semi-final 2
Czech Republic,2009,Aven Romale,Gipsy.cz,Didn't qualify,,#18 in semi-final 1
Czech Republic,2008,Have Some Fun,Tereza Kerndlová,Didn't qualify,,#18 in semi-final 2
Czech Republic,2007,Malá Dáma,Kabát,Didn't qualify,,#28 in semi-final
Croatia,2023,–,,–,–,semi-final
Croatia,2022,Guilty Pleasure,Mia Dimšić,Didn't qualify,,#11 in semi-final 1
Croatia,2021,Tick-Tock,Albina,Didn't qualify,,#11 in semi-final 1
Croatia,2020,Divlji vjetre,Damir Kedžo,,,cancelled
Croatia,2019,The Dream,Roko,Didn't qualify,,#14 in semi-final 2
Croatia,2018,Crazy,Franka,Didn't qualify,,#17 in semi-final 1
Croatia,2017,My Friend,Jacques Houdek,13,128,#8 in semi-final 2
Croatia,2016,Lighthouse,Nina Kraljić,23,73,#10 in semi-final 1
Croatia,2013,Mižerja,Klapa s mora,Didn't qualify,,#13 in semi-final 1
Croatia,2012,Nebo,Nina Badrić,Didn't qualify,,#12 in semi-final 2
Croatia,2011,Celebrate,Daria,Didn't qualify,,#15 in semi-final 1
Croatia,2010,Lako Je Sve,Feminnem,Didn't qualify,,#13 in semi-final 2
Croatia,2009,Lijepa Tena,Igor Cukrov feat. Andrea,18,45,#13 in semi-final 2
Croatia,2008,Romanca,Kraljevi Ulice & 75 Cents,21,44,#4 in semi-final 2
Croatia,2007,Vjerujem U Ljubav,Dragonfly feat. Dado Topic,Didn't qualify,,#16 in semi-final
Croatia,2006,Moja štikla,Severina,12,56,Top-10 2005
Croatia,2005,Vukovi Umiru Sami,Boris Novkovic feat. Lado members,11,115,#4 in semi-final
Croatia,2004,You Are The Only One,Ivan Mikulic,12,50,#9 in semi-final
Croatia,2003,Više nisam tvoja,Claudia Beni,15,29,
Croatia,2002,Everything I Want,Vesna Pisarovic,11,44,
Croatia,2001,Strings Of My Heart,Vanna,10,42,
Croatia,2000,Kada Zaspu Andeli,Goran Karan,9,70,
Croatia,1999,Marija Magdalena,Doris Dragović,4,118,
Croatia,1998,Neka Mi Ne Svane,Danijela,5,131,
Croatia,1997,Probudi Me,ENI,17,24,
Croatia,1996,Sveta Ljubav,Maja Blagdan,4,98,#19 in qualification
Croatia,1995,Nostalgija,Magazin & Lidija,6,91,
Croatia,1994,Nek'ti Bude Ljubav Sva,Tony Cetinski,16,27,
Croatia,1993,Don't Ever Cry,Put,15,31,#3 in qualification
Cyprus,2023,–,Andrew Lambrou,–,–,semi-final
Cyprus,2022,Ela,Andromache,Didn't qualify,,#12 in semi-final 2
Cyprus,2021,El Diablo,Elena Tsagrinou,16,94,#6 in semi-final 1
Cyprus,2020,Running,Sandro,,,cancelled
Cyprus,2019,Replay,Tamta,13,109,#9 in semi-final 1
Cyprus,2018,Fuego,Eleni Foureira,2,436,#2 in semi-final 1
Cyprus,2017,Gravity,Hovig,21,68,#5 in semi-final 1
Cyprus,2016,Alter Ego,Minus One,21,96,#8 in semi-final 1
Cyprus,2015,One Thing I Should Have Done,John Karayiannis,22,11,#6 in semi-final 2
Cyprus,2013,An Me Thimasai,Despina Olympiou,Didn't qualify,,#15 in semi-final 1
Cyprus,2012,La La Love,Ivi Adamou,16,65,#7 in semi-final 1
Cyprus,2011,San Aggelos S'agapisa,Christos Mylordos,Didn't qualify,,#18 in semi-final 2
Cyprus,2010,Life Looks Better In Spring,Jon Lilygreen & The Islanders,21,27,#10 in semi-final 2
Cyprus,2009,Firefly,Christina Metaxa,Didn't qualify,,#14 in semi-final 2
Cyprus,2008,Femme Fatale,Evdokia Kadi,Didn't qualify,,#15 in semi-final 2
Cyprus,2007,"Comme Ci, Comme ça",Evridiki,Didn't qualify,,#15 in semi-final
Cyprus,2006,Why Angels Cry,Annet Artani,Didn't qualify,,#15 in semi-final
Cyprus,2005,Ela Ela,Constantinos Christoforou,18,46,Top-10 2004
Cyprus,2004,Stronger Every Minute,Lisa Andreas,5,170,#5 in semi-final
Cyprus,2003,Feeling Alive,Stelios Constantas,20,15,
Cyprus,2002,Gimme,One,6,85,
Cyprus,2000,Nomiza,Voice,21,8,
Cyprus,1999,Tha'nai Erotas,Marlain Angelidou,22,2,
Cyprus,1998,Genesis,Michael Hajiyanni,11,37,
Cyprus,1997,Mana Mou,Chara and Andreas Konstantinou,5,98,
Cyprus,1996,Mono Gia Mas,Constantinos,9,72,#15 in qualification
Cyprus,1995,Sti Fotia,Alexandros Panayi,9,79,
Cyprus,1994,Ime Anthropos Ke Ego,Evridiki,11,51,
Cyprus,1993,Mi Stamatas,Kyriakos Zymboulakis & Demos Van Beke,19,17,
Cyprus,1992,Teriazoume,Evridiki,11,57,
Cyprus,1991,S.O.S.,Elena Patroclou,9,60,
Cyprus,1990,Milas Poli,Haris Anastasiou,14,36,
Cyprus,1989,Apopse As Vrethoume,Fanny Polymeri and Yiannis Savvidakis,11,51,
Cyprus,1987,Aspro Mavro,Alexia,7,80,
Cyprus,1986,Tora Zo,Elpida,20,4,
Cyprus,1985,To Katalava Arga,Lia Vishy,16,15,
Cyprus,1984,Anna Maria Lena,Andy Paul,15,31,
Cyprus,1983,I Agapi Akoma Zi,Stavros and Constantina,16,26,
Cyprus,1982,Mono I Agapi,Anna Vissi,5,85,
Cyprus,1981,Monika,Island,6,69,
Denmark,2023,–,,–,–,semi-final
Denmark,2022,The Show,Reddi,Didn't qualify,,#13 in semi-final 1
