country,years,songs,artists,places,points,qualification
Sweden,2000,When Spirits Are Calling My Name,Roger Pontare,7,88,
Sweden,1999,Take Me To Your Heaven,Charlotte Nilsson,#1,163,
Sweden,1998,Kärleken är,Jill Johnson,10,53,
Sweden,1997,Bara Hon älskar Mig,Blond,14,36,
Sweden,1996,Den Vilda,One More Time,3,100,#1 in qualification
Sweden,1995,Se på mig,Jan Johansen,3,100,
Sweden,1994,Stjärnorna,Marie Bergman & Roger Pontare,13,48,
Sweden,1993,Eloïse,Arvingarna,7,89,
Sweden,1992,I Morgon är En Annan Dag,Christer Björkman,22,9,
Sweden,1991,Fångad Av En Stormvind,Carola,#1,146,
Sweden,1990,Som En Vind,Edin-Ådahl,16,24,
Sweden,1989,En Dag,Tommy Nilsson,4,110,
Sweden,1988,Stad I Ljus,Tommy Körberg,12,52,
Sweden,1987,Boogaloo,Lotta Engberg,12,50,
Sweden,1986,E' De' Det Här Du Kallar Kärlek,Lasse Holm & Monica Törnell,5,78,
Sweden,1985,Bra Vibrationer,Kikki Danielsson,3,103,
Sweden,1984,Diggi-loo Diggy-ley,Herrey's,#1,145,
Sweden,1983,Främling,Carola Häggkvist,3,126,
Sweden,1982,Dag Efter Dag,Chips,8,67,
Sweden,1981,Fångad I En Dröm,Björn Skifs,10,50,
Sweden,1980,Just Nu!,Tomas Ledin,10,47,
Sweden,1979,Satellit,Ted Gärdestad,17,8,
Sweden,1978,Det Blir Alltid Värre Framåt Natten,Björn Skifs,14,26,
Sweden,1977,Beatles,Forbes,18,2,
Sweden,1975,"Jennie, Jennie",Lars Berghagen and the Dolls,8,72,
Sweden,1974,Waterloo,ABBA,#1,24,
Sweden,1973,You're Summer,The Nova and The Dolls,5,94,
Sweden,1972,Härliga Sommardag,Family Four,13,75,
Sweden,1971,Vita Vidder,Family Four,6,85,
Sweden,1969,"Judy, Min Vän",Tommy Körberg,9,8,
Sweden,1968,"Det Börjar Verka Kärlek, Banne Mej",Claes-Göran Hederström,5,15,
Sweden,1967,Som En Dröm,Östen Warnerbring,8,7,
Sweden,1966,Nygammal Vals,Lill Lindfors & Svante Thuresson,2,16,
Sweden,1965,Absent Friend,Ingvar Wixell,10,6,
Sweden,1963,En Gång I Stockholm,Monica Zetterlund,13,0,
Sweden,1962,Sol Och Vår,Inger Berggren,7,4,
Sweden,1961,"April, April",Lill-Babs,14,2,
Sweden,1960,Alla Andra Får Varann,Siw Malmkvist,10,4,
Sweden,1959,Augustin,Brita Borg,9,4,
Sweden,1958,Lilla Stjärna,Alice Babs,4,10,
Slovenia,2023,–,,–,–,semi-final
Slovenia,2022,Disko,LPS,Didn't qualify,,#17 in semi-final 1
Slovenia,2021,Amen,Ana Soklič,Didn't qualify,,#13 in semi-final 1
Slovenia,2020,Voda,Ana Soklič,,,cancelled
Slovenia,2019,Sebi,Zala Kralj & Gašper Šantl,15,105,#6 in semi-final 1
Slovenia,2018,"Hvala, ne!",Lea Sirk,22,64,#8 in semi-final 2
Slovenia,2017,On My Way,Omar Naber,Didn't qualify,,#17 in semi-final 1
Slovenia,2016,Blue and Red,ManuElla,Didn't qualify,,#14 in semi-final 2
Slovenia,2015,Here for You,Maraaya,14,39,#5 in semi-final 2
Slovenia,2014,Round and Round,Tinkara Kovač,25,9,#10 in semi-final 2
Slovenia,2013,Straight Into Love,Hannah,Didn't qualify,,#16 in semi-final 1
Slovenia,2012,Verjamem,Eva Boto,Didn't qualify,,#17 in semi-final 2
Slovenia,2011,No One,Maja Keuc,13,96,#3 in semi-final 2
Slovenia,2010,Narodnozabavni Rock,Ansambel Žlindra & Kalamari,Didn't qualify,,#16 in semi-final 2
Slovenia,2009,Love Symphony,Quartissimo feat. Martina,Didn't qualify,,#16 in semi-final 2
Slovenia,2008,Vrag Naj Vzame,Rebeka Dremelj,Didn't qualify,,#11 in semi-final 1
Slovenia,2007,Cvet Z Juga,Alenka Gotar,15,66,#7 in semi-final
Slovenia,2006,Mr. Nobody,Anžej Dežan,Didn't qualify,,#16 in semi-final
Slovenia,2005,Stop,Omar Naber,Didn't qualify,,#12 in semi-final
Slovenia,2004,Stay Forever,Platin,Didn't qualify,,#21 in semi-final
Slovenia,2003,Nanana,Karmen,23,7,
Slovenia,2002,Samo Ljubezen,Sestre,13,33,
Slovenia,2001,Energy,Nuša Derenda,7,70,
Slovenia,1999,For A Thousand Years,Darja Svajger,11,50,
Slovenia,1998,Naj Bogovi Slišijo,Vili Resnik,18,17,
Slovenia,1997,Zbudi Se,Tanja Ribič,10,60,
Slovenia,1996,Dan najlepših sanj,Regina,21,16,#19 in qualification
Slovenia,1995,Prisluhni Mi,Darja Svajger,7,84,
Slovenia,1993,Tih deževen dan,1X Band,22,9,#1 in qualification
Spain,2023,–,,–,–,Big 5
Spain,2022,SloMo,Chanel,3,459,Big 5
Spain,2021,Voy A Quedarme,Blas Cantó,24,6,Big 5
Spain,2020,Universo,Blas Cantó,,,cancelled
Spain,2019,La Venda,Miki,22,54,Big 5
Spain,2018,Tu Canción,Amaia & Alfred,23,61,Big 5
Spain,2017,Do It for Your Lover,Manel Navarro,26,5,Big 5
Spain,2016,Say Yay!,Barei,22,77,Big 5
Spain,2015,Amanecer,Edurne,21,15,Big 5
Spain,2014,Dancing in the rain,Ruth Lorenzo,10,74,Big 5
Spain,2013,Contigo Hasta El Final,ESDM,25,8,Big 5
Spain,2012,Quédate Conmigo,Pastora Soler,10,97,Big 5
Spain,2011,Que Me Quiten Lo Bailao,Lucía Pérez,23,50,Big 5
Spain,2010,Algo Pequeñito,Daniel Diges,15,68,Big 4
Spain,2009,La Noche Es Para Mí,Soraya,24,23,Big 4
Spain,2008,Baila El Chiki Chiki,Rodolfo Chikilicuatre,16,55,Big 4
Spain,2007,I Love You Mi Vida,NASH,20,43,Big 4
Spain,2006,Bloody Mary,Las Ketchup,21,18,Big 4
Spain,2005,Brujería,Son de sol,21,28,Big 4
Spain,2004,Para Llenarme De Ti,Ramón,10,87,Big 4
Spain,2003,Dime,Beth,8,81,
Spain,2002,Europe's Living A Celebration,Rosa,7,81,
Spain,2001,Dile Que La Quiero,David Civera,6,76,
Spain,2000,Colgado De Un Sueño,Serafín Zubiri,18,18,
Spain,1999,No Quiero Escuchar,Lydia,23,1,
Spain,1998,¿Qué Voy A Hacer Sin Ti?,Mikel Herzog,16,21,
Spain,1997,Sin Rencor,Marcos Llunas,6,96,
Spain,1996,"¡Ay, Qué Deseo!",Antonio Carbonell,20,17,#14 in qualification
Spain,1995,Vuelve Conmigo,Anabel Conde,2,119,
Spain,1994,Ella No Es Ella,Alejandro Abad,18,17,
Spain,1993,Hombres,Eva Santamaria,11,58,
Spain,1992,Todo Esto Es La Música,Serafin,14,37,
Spain,1991,Bailar Pegados,Sergio Dalma,4,119,
Spain,1990,Bandido,Azúcar Moreno,5,96,
Spain,1989,Nacida Para Amar,Nina,6,88,
Spain,1988,La Chica Que Yo Quiero (made In Spain),La Década,11,58,
Spain,1987,No Estás Solo,Patricia Kraus,19,10,
Spain,1986,Valentino,Cadillac,10,51,
Spain,1985,La Fiesta Terminó,Paloma San Basilio,14,36,
Spain,1984,"Lady, Lady",Bravo,3,106,
Spain,1983,¿Quién Maneja Mi Barca?,Remedios Amaya,19,0,
Spain,1982,Él,Lucía,10,52,
Spain,1981,Y Solo Tú,Bacchelli,14,38,
Spain,1980,Quédate Esta Noche,Trigo Limpio,12,38,
Spain,1979,Su Canción,Betty Missiego,2,116,
Spain,1978,Bailemos Un Vals,José Vélez,9,65,
Spain,1977,Enseñame A Cantar,Micky,9,52,
Spain,1976,Sobran Las Palabras,Braulio,16,11,
Spain,1975,Tú Volverás,Sergio & Estíbaliz,10,53,
Spain,1974,Canta Y Se Feliz,Peret,9,10,
Spain,1973,Eres Tú,Mocedades,2,125,
Spain,1972,Amanece,Jaime Morey,10,83,
Spain,1971,En Un Mundo Nuevo,Karina,2,116,
Spain,1970,Gwendolyne,Julio Iglesias,4,8,
Spain,1969,Vivo Cantando,Salomé,#1,18,
Spain,1968,"La, La, La...",Massiel,#1,29,
Spain,1967,Hablemos Del Amor,Raphael,6,9,
Spain,1966,Yo Soy Aquél,Raphael,7,9,
Spain,1965,"Qué Bueno, Qué Bueno",Conchita Bautista,15,0,
Spain,1964,Caracola,"Tim, Nelly and Tony",12,1,
Spain,1963,Algo Prodigioso,José Guardiola,12,2,
Spain,1962,Llámame,Victor Balaguer,13,0,
Spain,1961,Estando Contigo,Conchita Bautista,9,8,
Serbia,2023,–,,–,–,semi-final
Serbia,2022,In Corpore Sano,Konstrakta,5,312,#3 in semi-final 2
Serbia,2021,Loco Loco,Hurricane,15,102,#8 in semi-final 2
Serbia,2020,Hasta la vista,Hurricane,,,cancelled
Serbia,2019,Kruna,Nevena Božović,18,89,#7 in semi-final 1
Serbia,2018,Nova Deca,Sanja Ilić & Balkanika,19,113,#9 in semi-final 2
Serbia,2017,In Too Deep,Tijana Bogićević,Didn't qualify,,#11 in semi-final 2
Serbia,2016,Goodbye (Shelter),Sanja Vučić ZAA,18,115,#10 in semi-final 2
Serbia,2015,Beauty Never Lies,Bojana Stamenov,10,53,#9 in semi-final 1
Serbia,2013,Ljubav Je Svuda,Moje 3,Didn't qualify,,#11 in semi-final 1
Serbia,2012,Nije Ljubav Stvar,Željko Joksimović,3,214,#2 in semi-final 2
Serbia,2011,Čaroban,Nina,14,85,#8 in semi-final 1
Serbia,2010,Ovo Je Balkan,Milan Stanković,13,72,#5 in semi-final 1
Serbia,2009,Cipela,Marko Kon & Milaan,Didn't qualify,,#10 in semi-final 2
Serbia,2008,Oro,Jelena Tomašević feat. Bora Dugic,6,160,winner 2007
Serbia,2007,Molitva,Marija Šerifović,#1,268,#1 in semi-final
Yugoslavia,1992,Ljubim Te Pesmama,Extra Nena,13,44,
Yugoslavia,1991,Brazil,Baby Doll,21,1,
Yugoslavia,1990,Hajde Da Ludujemo,Tajci,7,81,
Yugoslavia,1989,Rock Me,Riva,#1,137,
Yugoslavia,1988,Mangup,Srebrna Krila,6,87,
Yugoslavia,1987,Ja Sam Za Ples,Novi Fosili,4,92,
Yugoslavia,1986,Željo Moja,Doris Dragović,11,49,
Yugoslavia,1984,Ciao Amore,Vlado and Isolda,18,26,
Yugoslavia,1983,Dzuli,Danijel,4,125,
Yugoslavia,1982,Halo Halo,Aska,14,21,
Yugoslavia,1981,Leila,Seid-Memic Vajta,15,35,
Yugoslavia,1976,Ne Mogu Skriti Svoju Bol,Ambasadori,17,10,
Yugoslavia,1975,Dan Ljubezni,Pepel In Kri,13,22,
Yugoslavia,1974,Moja Generacija,Korni,12,6,
Yugoslavia,1973,Gori Vatra,Zdravko Colic,15,65,
Yugoslavia,1972,Muzika I Ti,Tereza,9,87,
Yugoslavia,1971,Tvoj Djecak Je Tuzan,Krunoslav Slabinac,14,68,
Yugoslavia,1970,"Pridi, Dala Ti Bom Cvet",Eva Sršen,11,4,
Yugoslavia,1969,Pozdrav Svijetu,Ivan & M's,13,5,
Yugoslavia,1968,Jedan Dan,Luci Kapurso & Hamo Hajdarhodzic,7,8,
Yugoslavia,1967,Vse Rože Sveta,Lado Leskovar,8,7,
Yugoslavia,1966,Brez Besed,Berta Ambroz,7,9,
Yugoslavia,1965,Ceznja,Vice Vukov,12,2,
Yugoslavia,1964,Život je sklopio krug,Sabahudin Kurt,13,0,
Yugoslavia,1963,Brodovi,Vice Vukov,11,3,
Yugoslavia,1962,Ne Pali Svetlo U Sumrak,Lola Novaković,4,10,
Yugoslavia,1961,Neke Davne Zvezde,Ljiljana Petrović,8,9,
United Kingdom,2023,–,,–,–,Big 5
United Kingdom,2022,Space Man,Sam Ryder,2,466,Big 5
United Kingdom,2021,Embers,James Newman,26,0,Big 5
United Kingdom,2020,My Last Breath,James Newman,,,cancelled
United Kingdom,2019,Bigger Than Us,Michael Rice,26,11,Big 5
United Kingdom,2018,Storm,SuRie,24,48,Big 5
United Kingdom,2017,Never Give Up on You,Lucie Jones,15,111,Big 5
United Kingdom,2016,You're Not Alone,Joe & Jake,24,62,Big 5
United Kingdom,2015,Still in Love with You,Electro Velvet,24,5,Big 5
United Kingdom,2014,Children of the Universe,Molly,17,40,Big 5
United Kingdom,2013,Believe In Me,Bonnie Tyler,19,23,Big 5
United Kingdom,2012,Love Will Set You Free,Engelbert Humperdinck,25,12,Big 5
United Kingdom,2011,I Can,Blue,11,100,Big 5
United Kingdom,2010,That Sounds Good To Me,Josh,25,10,Big 4
United Kingdom,2009,It's My Time,Jade Ewen,5,173,Big 4
United Kingdom,2008,Even If,Andy Abraham,25,14,Big 4
United Kingdom,2007,Flying The Flag (for You),Scooch,22,19,Big 4
United Kingdom,2006,Teenage Life,Daz Sampson,19,25,Big 4
United Kingdom,2005,Touch My Fire,Javine,22,18,Big 4
United Kingdom,2004,Hold On To Our Love,James Fox,16,29,Big 4
United Kingdom,2003,Cry Baby,Jemini,26,0,
United Kingdom,2002,Come Back,Jessica Garlick,3,111,
United Kingdom,2001,No Dream Impossible,Lindsay D.,15,28,
United Kingdom,2000,Don't Play That Song Again,Nicki French,16,28,
United Kingdom,1999,Say It Again,Precious,12,38,
United Kingdom,1998,Where Are You?,Imaani,2,166,
United Kingdom,1997,Love Shine A Light,Katrina and The Waves,#1,227,
United Kingdom,1996,Ooh...Aah...Just A Little Bit,Gina G,8,77,#3 in qualification
United Kingdom,1995,Love City Groove,Love City Groove,10,76,
United Kingdom,1994,We Will Be Free (Lonely Symphony),Frances Ruffelle,10,63,
United Kingdom,1993,Better The Devil You Know,Sonia,2,164,
United Kingdom,1992,One Step Out Of Time,Michael Ball,2,139,
United Kingdom,1991,A Message To Your Heart,Samantha Janus,10,47,
United Kingdom,1990,Give A Little Love Back To The World,Emma,6,87,
United Kingdom,1989,Why Do I Always Get It Wrong,Live Report,2,130,
United Kingdom,1988,Go,Scott Fitzgerald,2,136,
United Kingdom,1987,Only The Light,Rikki,13,47,
United Kingdom,1986,Runner In The Night,Ryder,7,72,
United Kingdom,1985,Love Is...,Vikki,4,100,
United Kingdom,1984,Love Games,Belle and the Devotions,7,63,
United Kingdom,1983,I'm Never Giving Up,Sweet Dreams,6,79,
United Kingdom,1982,One Step Further,Bardo,7,76,
United Kingdom,1981,Making Your Mind Up,Bucks Fizz,#1,136,
United Kingdom,1980,Love Enough For Two,Prima Donna,3,106,
United Kingdom,1979,Mary Ann,Black Lace,7,73,
United Kingdom,1978,The Bad Old Days,Co-Co,11,61,
United Kingdom,1977,Rock Bottom,Lynsey de Paul & Mike Moran,2,121,
United Kingdom,1976,Save Your Kisses For Me,Brotherhood of Man,#1,164,
United Kingdom,1975,Let Me Be The One,The Shadows,2,138,
United Kingdom,1974,Long Live Love,Olivia Newton-John,4,14,
United Kingdom,1973,Power To All Our Friends,Cliff Richard,3,123,
United Kingdom,1972,"Beg, Steal or Borrow",The New Seekers,2,114,
United Kingdom,1971,Jack In The Box,Clodagh Rodgers,4,98,
United Kingdom,1970,"Knock, Knock (who's there?)",Mary Hopkin,2,26,
United Kingdom,1969,Boom Bang-a-bang,Lulu,#1,18,
United Kingdom,1968,Congratulations,Cliff Richard,2,28,
United Kingdom,1967,Puppet On A String,Sandie Shaw,#1,47,
United Kingdom,1966,A Man Without Love,Kenneth McKellar,9,8,
United Kingdom,1965,I Belong,Kathy Kirby,2,26,
United Kingdom,1964,I Love The Little Things,Matt Monro,2,17,
United Kingdom,1963,Say Wonderful Things,Ronnie Carroll,4,28,
United Kingdom,1962,Ring-a-ding Girl,Ronnie Carroll,4,10,
United Kingdom,1961,Are You Sure?,The Allisons,2,24,
United Kingdom,1960,"Looking High, High, High",Bryan Johnson,2,25,
United Kingdom,1959,Sing Little Birdie,Pearl Carr & Teddy Johnson,2,16,
United Kingdom,1957,All,Patricia Bredin,7,6,
Switzerland,2023,–,,–,–,semi-final
Switzerland,2022,Boys Do Cry,Marius Bear,17,78,#9 in semi-final 1
Switzerland,2021,Tout l'univers,Gjon's Tears,3,432,#1 in semi-final 2
Switzerland,2020,Répondez-moi,Gjon's Tears,,,cancelled
Switzerland,2019,She Got Me,Luca Hänni,4,364,#4 in semi-final 2
Switzerland,2018,Stones,Zibbz,Didn't qualify,,#13 in semi-final 1
Switzerland,2017,Apollo,Timebelle,Didn't qualify,,#12 in semi-final 2
Switzerland,2016,The Last of Our Kind,Rykka,Didn't qualify,,#18 in semi-final 2
Switzerland,2015,Time To Shine,Mélanie René,Didn't qualify,,#17 in semi-final 2
Switzerland,2014,Hunter Of Stars,Sebalter,13,64,#4 in semi-final 2
Switzerland,2013,You And Me,Takasa,Didn't qualify,,#13 in semi-final 2
Switzerland,2012,Unbreakable,Sinplus,Didn't qualify,,#11 in semi-final 1
Switzerland,2011,In Love For A While,Anna Rossinelli,25,19,#10 in semi-final 1
Switzerland,2010,Il Pleut de L'Or,Michael von der Heide,Didn't qualify,,#17 in semi-final 2
Switzerland,2009,The Highest Heights,Lovebugs,Didn't qualify,,#14 in semi-final 1
Switzerland,2008,Era Stupendo,Paolo Meneguzzi,Didn't qualify,,#13 in semi-final 2
Switzerland,2007,Vampires Are Alive,DJ BoBo,Didn't qualify,,#20 in semi-final
Switzerland,2006,If We All Give A Little,Six4One,16,30,Top-10 2005
Switzerland,2005,Cool Vibes,Vanilla Ninja,8,128,#8 in semi-final
Switzerland,2004,Celebrate,Piero Esteriore & the MusicStars,Didn't qualify,,#22 in semi-final
Switzerland,2002,Dans Le Jardin De Mon Âme,Francine Jordi,22,15,
Switzerland,2000,La Vita Cos'è?,Jane Bogaert,20,14,
Switzerland,1998,Lass Ihn,Gunvor,25,0,
Switzerland,1997,Dentro Di Me,Barbara Berta,22,5,
Switzerland,1996,Mon Coeur L'aime,Cathy Leander,16,22,#8 in qualification
Switzerland,1994,Sto Pregando,Duilio,19,15,
Switzerland,1993,"Moi, Tout Simplement",Annie Cotton,3,148,
Switzerland,1992,Mister Music Man,Daisy Auvray,15,32,
Switzerland,1991,Canzone Per Te,Sandra Simó,5,118,
Switzerland,1990,Musik Klingt In Die Welt Hinaus,Egon Egemann,11,51,
Switzerland,1989,Viver Senza Tei,Furbaz,13,47,
Switzerland,1988,Ne Partez Pas Sans Moi,Céline Dion,#1,137,
Switzerland,1987,Moitié Moitié,Carole Rich,17,26,
Switzerland,1986,Pas Pour Moi,Daniela Simons,2,140,
Switzerland,1985,Piano Piano,Mariella Farré & Pino Gasparini,12,39,
Switzerland,1984,Welche Farbe Hat Der Sonnenschein,Rainy Day,16,30,
Switzerland,1983,Io Così Non Ci Sto,Mariella Farré,15,28,
Switzerland,1982,Amour On T'aime,Arlette Zola,3,97,
Switzerland,1981,Io Senza Tei,"Peter, Sue & Marc",4,121,
Switzerland,1980,Cinéma,Paola,4,104,
Switzerland,1979,Trödler Und Co.,"Peter, Sue & Marc and Pfuri, Gorps & Kniri",10,60,
Switzerland,1978,Vivre,Carole Vinci,9,65,
Switzerland,1977,Swiss Lady,Pepe Lienhard Band,6,71,
Switzerland,1976,"Djambo, Djambo","Peter, Sue & Marc",4,91,
Switzerland,1975,Mikado,Simone Drexel,6,77,
Switzerland,1974,Mein Ruf Nach Dir,Piera Martell,14,3,
Switzerland,1973,"Je vais me marier, Marie",Patrick Juvet,12,79,
Switzerland,1972,C'est La Chanson De Mon Amour,Véronique Müller,8,88,
Switzerland,1971,Les Illusions De Nos Vingt Ans,"Peter, Sue and Marc",12,78,
Switzerland,1970,Retour,Henri Dès,4,8,
Switzerland,1969,"Bonjour, Bonjour",Paola del Medico,5,13,
Switzerland,1968,Guardando Il Sole,Gianni Mascolo,13,2,
Switzerland,1967,Quel Cœur Vas-tu Briser?,Géraldine,17,0,
Switzerland,1966,Ne Vois-tu Pas?,Madeleine Pascal,6,12,
Switzerland,1965,Non à Jamais Sans Toi,Yovanna,8,8,
Switzerland,1964,I Miei Pensieri,Anita Traversi,13,0,
Switzerland,1963,T'en Va Pas,Esther Ofarim,2,40,
Switzerland,1962,Le Retour,Jean Philippe,10,2,
Switzerland,1961,Nous Aurons Demain,Franca di Rienzo,3,16,
Switzerland,1960,Cielo E Terra,Anita Traversi,8,5,
Switzerland,1959,Irgendwoher,Christa Williams,4,14,
Switzerland,1958,Giorgio,Lys Assia,2,24,
Switzerland,1957,L'enfant Que J'étais,Lys Assia,8,5,
Switzerland,1956,Das Alte Karussell,Lys Assia,2,–,
Switzerland,1956,Refrain,Lys Assia,#1,–,
Turkey,2012,Love Me Back,Can Bonomo,7,112,#5 in semi-final 2
Turkey,2011,Live It Up,Yüksek Sadakat,Didn't qualify,,#13 in semi-final 1
Turkey,2010,We Could Be The Same,maNga,2,170,#1 in semi-final 2
Turkey,2009,Düm Tek Tek,Hadise,4,177,#2 in semi-final 1
Turkey,2008,Deli,Mor ve Ötesi,7,138,#7 in semi-final 2
Turkey,2007,Shake It Up Shekerim,Kenan Dogulu,4,163,#3 in semi-final
Turkey,2006,Superstar,Sibel Tüzün,11,91,#8 in semi-final
Turkey,2005,Rimi Rimi Ley,Gülseren,13,92,Top-10 2004
Turkey,2004,For Real,Athena,4,195,winner 2003
Turkey,2003,Everyway That I Can,Sertab Erener,#1,167,
Turkey,2002,Leylaklar Soldu Kalbinde,Buket Bengisu & Saphire,16,29,
Turkey,2001,Sevgiliye Son,Sedat Yüce,11,41,
Turkey,2000,Yorgunum Anla,Pınar Ayhan & S.O.S. band,10,59,
Turkey,1999,Dön Artık,Tuba Önal & Mystik,16,21,
Turkey,1998,Unutamazsin,Tüzmen,14,25,
Turkey,1997,Dinle,Şebnem Paker & Etnic,3,121,
Turkey,1996,Beşinci Mevsim,Şebnem Paker,12,57,#7 in qualification
Turkey,1995,Sev!,Arzu Ece,16,21,
Turkey,1993,Esmer Yarim,"Burak Aydos, Baybora & Serter Öztürk",21,10,
Turkey,1992,Yaz Bitti,Aylin Vatankoş,19,17,
Turkey,1991,İki Dakika,"İzel Çeliköz, Reyhan Karaca & Can Uğurluer",12,44,
Turkey,1990,Gözlerinin Hapsindeyim,Kayahan,17,21,
Turkey,1989,Bana Bana,Pan,21,5,
Turkey,1988,Sufi,MFÖ,15,37,
Turkey,1987,Şarkım sevgi üstüne,Seyyal Taner & Lokomotif,22,0,
Turkey,1986,Halley,Klips & Onlar,9,53,
Turkey,1985,Di Dai Di Dai Dai (Aşık oldum),MFÖ,14,36,
Turkey,1984,Halay,"Bes Yil Önce, On Yil Sonra",12,37,
Turkey,1983,Opera,Çetin Alp and the Short Wave,19,0,
Turkey,1982,Hani,Neco,15,20,
Turkey,1981,Dönme Dolap,Modern Folk Trio & Ayşegül,18,9,
Turkey,1980,Petr'oil,Ajda Pekkan,15,23,
Turkey,1978,Sevince,Nazar,18,2,
Turkey,1975,Seninle Bir Dakika,Semiha Yankı,19,3,
Ukraine,2023,–,,–,–,winner 2022
Ukraine,2022,Stefania,Kalush Orchestra,#1,631,#1 in semi-final 1
Ukraine,2021,Shum,Go_A,5,364,#2 in semi-final 1
Ukraine,2020,Solovey,Go_A,,,cancelled
Ukraine,2018,Under the Ladder,Mélovin,17,130,#6 in semi-final 2
Ukraine,2017,Time,O.Torvald,24,36,winner 2016
Ukraine,2016,1944,Jamala,#1,534,#2 in semi-final 2
Ukraine,2014,Tick - Tock,Mariya Yaremchuk,6,113,#5 in semi-final 1
Ukraine,2013,Gravity,Zlata Ognevich,3,214,#3 in semi-final 1
Ukraine,2012,Be My Guest,Gaitana,15,65,#8 in semi-final 2
Ukraine,2011,Angel,Mika Newton,4,159,#6 in semi-final 2
Ukraine,2010,Sweet People,Alyosha,10,108,#7 in semi-final 2
Ukraine,2009,Be my Valentine! (Anti-crisis Girl),Svetlana Loboda,12,76,#6 in semi-final 2
Ukraine,2008,Shady Lady,Ani Lorak,2,230,#1 in semi-final 2
Ukraine,2007,Dancing Lasha Tumbai,Verka Serduchka,2,235,Top-10 2006
Ukraine,2006,Show Me Your Love,Tina Karol,7,145,#7 in semi-final
Ukraine,2005,Razom Nas Bahato,Greenjolly,19,30,winner 2004
Ukraine,2004,Wild Dances,Ruslana,#1,280,#2 in semi-final
Ukraine,2003,Hasta La Vista,Olexandr,14,30,
